,fiyat,il,ilce,mahalle,Net,OdaSayısı,BinanınYASI,BulunduguKAT,BinadakiKatSAYISI,IsıtmaTıpı,BanyoSAYISI
1179,"335,000",0,0,12,2,0,4,7,0,3,0
1180,"320,000",0,0,0,7,1,5,2,1,1,0
1181,"340,000",0,0,7,9,1,4,2,1,1,0
1182,"430,000",0,0,15,7,1,0,0,4,1,0
1183,"350,000",0,0,10,9,1,5,1,1,1,0
1184,"358,000",0,0,7,12,1,4,2,1,1,0
1185,"360,000",0,0,3,11,1,2,0,5,2,0
1186,"370,000",0,0,3,14,1,4,2,1,1,0
1187,"265,000",0,0,8,13,1,5,3,2,1,0
1188,"420,000",0,0,10,11,1,0,1,4,1,0
1189,"225,000",0,0,14,1,0,0,2,1,1,0
1190,"360,000",0,0,4,11,1,0,2,4,1,0
1191,"425,000",0,0,5,16,1,2,6,4,4,0
1192,"465,000",0,0,2,15,2,1,7,0,0,1
1193,"265,000",0,0,16,3,0,3,9,2,1,0
1194,"450,000",0,0,12,17,3,5,7,0,0,1
1195,"400,000",0,0,0,4,1,0,5,4,1,0
1196,"258,000",0,0,1,10,1,1,0,1,1,0
1197,"290,000",0,0,4,6,1,5,5,4,1,0
1198,"325,000",0,0,10,5,1,3,8,4,1,0
1199,"415,000",0,0,13,11,1,0,0,5,4,0
1200,"325,000",0,0,9,10,1,0,8,4,1,0
1201,"286,000",0,0,1,11,1,0,5,4,2,0
1202,"469,000",0,0,0,8,1,0,4,4,2,0
1203,"270,000",0,0,11,11,1,4,6,2,1,0
1204,"188,000",0,0,14,0,0,0,9,0,1,0
1205,"350,000",0,0,1,11,1,2,2,4,1,0
